Dataset,Experiment,Folder,Average_SAD,Average_MSE,STD_SAD,STD_MSE
Samson,"Results (25 runs, no seed, diff images)","Blur (sigma = [0.1, 1.0])",[0.07489481 0.04171163 0.02150855],[0.03676511 0.02046375 0.01378584],[0.12481445 0.00815555 0.00356642],[0.02554134 0.01508783 0.00565557]
Samson,"Results (25 runs, no seed, diff images)","Blur (sigma = [0.1, 2.0])",[0.05085009 0.03963101 0.02048439],[0.03147985 0.01702133 0.01359062],[0.02785108 0.00142234 0.00263651],[0.00663136 0.00514413 0.00239063]
Samson,"Results (25 runs, no seed, diff images)",Crop (50),[0.05325709 0.04105935 0.02817271],[0.03375569 0.01888244 0.0135976 ],[0.02722421 0.00183174 0.00407019],[0.00910739 0.0069591  0.00223412]
Samson,"Results (25 runs, no seed, diff images)",Crop (75),[0.04736427 0.04020083 0.03125418],[0.03099151 0.01675293 0.0129346 ],[0.01391147 0.00123292 0.00570249],[0.00863712 0.00632825 0.00242844]
Samson,"Results (25 runs, no seed, diff images)",Crop (95),[0.05538568 0.04096571 0.02837256],[0.03398933 0.01900532 0.01347624],[0.031173   0.00207185 0.00516691],[0.00810637 0.00532664 0.00303259]
Samson,"Results (25 runs, no seed, diff images)",Vertical Flip,[0.03472055 0.03943264 0.29274195],[0.03380841 0.01619371 0.02151978],[0.01592916 0.00130548 0.01114137],[0.00832166 0.00560973 0.00269951]
Samson,"Results (25 runs, no seed, diff images)",Horizontal Flip,[0.0344732  0.03872181 0.2896429 ],[0.03592004 0.01738523 0.02214704],[0.02095264 0.0016286  0.01191738],[0.00685271 0.00521323 0.00346264]
Samson,"Results (25 runs, no seed, diff images)",Mix Flip,[0.03478315 0.03903403 0.29391775],[0.03359501 0.01352094 0.02221475],[0.00848483 0.00109181 0.00938051],[0.00553447 0.00284662 0.00304643]
Samson,"Results (25 runs, no seed, diff images)",Random Flip,[0.04244378 0.03914428 0.2931204 ],[0.03658684 0.01583045 0.02395896],[0.03952564 0.00099586 0.00873902],[0.00903825 0.00541258 0.00501197]
Samson,"Results (25 runs, no seed, diff images)",Jitter,[0.07230996 0.04335375 0.02218111],[0.03796877 0.02308672 0.01162146],[0.1220196  0.00512085 0.00450028],[0.02477851 0.02015971 0.00253766]
Samson,"Results (25 runs, no seed, diff images)",Crop + Blur,[0.0435442  0.03921442 0.02794155],[0.01832257 0.00987686 0.0088313 ],[0.00650537 0.00056621 0.00283944],[0.01010595 0.00962784 0.00122754]
Samson,"Results (25 runs, no seed, diff images)",Crop + Flip,[0.02764556 0.03836007 0.31862405],[0.03223089 0.02133473 0.02403563],[0.0046402  0.00046876 0.02310252],[0.00443728 0.00421412 0.00266242]
Samson,"Results (25 runs, no seed, diff images)",Crop + Flip + Blur,[0.02995033 0.03721985 0.34437227],[0.0360647  0.01876308 0.02845718],[0.00360202 0.00062661 0.02435961],[0.01401993 0.00524298 0.00816792]
Samson,"Results (25 runs, no seed, diff images)",Crop + Jitter,[0.03942275 0.04081781 0.03094226],[0.01847054 0.00957024 0.00891866],[0.01037389 0.00080366 0.00410999],[0.00429653 0.00306013 0.00156814]
Samson,"Results (25 runs, no seed, diff images)",Crop + Jitter + Blur,[0.04268135 0.03919166 0.02922061],[0.01764405 0.00862241 0.00942899],[0.00429746 0.0007686  0.00446973],[0.00465631 0.00302635 0.002044  ]
Samson,"Results (25 runs, no seed, diff images)",Crop + Jitter + Flip,[0.0270798  0.03841177 0.32485947],[0.03318917 0.02137503 0.02336237],[0.00367805 0.00046228 0.02117842],[0.00479558 0.00371861 0.00381595]
Samson,"Results (25 runs, no seed, diff images)",Jitter + Flip,[0.02529254 0.03985842 0.27925116],[0.03753333 0.02532849 0.02173569],[0.00473825 0.00062142 0.01477884],[0.00610104 0.00477131 0.00330086]
Samson,"Results (25 runs, no seed, diff images)",Jitter + Flip + Blur,[0.02670412 0.03948295 0.2861511 ],[0.03541587 0.02365487 0.02208924],[0.00424287 0.00087593 0.01865387],[0.00430187 0.00330159 0.00286612]
Samson,"Results (25 runs, no seed, same images)","Blur (sigma = [0.1, 1.0])",[0.03593975 0.03944575 0.02288866],[0.02827653 0.0154     0.01186813],[0.00671574 0.00100198 0.00348273],[0.01104908 0.00728    0.00327075]
Samson,"Results (25 runs, no seed, same images)","Blur (sigma = [0.1, 2.0])",[0.03600429 0.03957741 0.02329592],[0.03115827 0.01674525 0.01252748],[0.00281839 0.00078788 0.00454552],[0.01015279 0.006815   0.00298696]
Samson,"Results (25 runs, no seed, same images)",Crop (50),[0.03762157 0.03988739 0.03075511],[0.03797784 0.02009725 0.01623709],[0.00309058 0.00106899 0.00461066],[0.01991187 0.0071959  0.0145045 ]
Samson,"Results (25 runs, no seed, same images)",Crop (75),[0.0376199  0.04010969 0.03323752],[0.0314252  0.0168088  0.01280237],[0.00461299 0.00079063 0.00521225],[0.00963922 0.00602971 0.00284183]
Samson,"Results (25 runs, no seed, same images)",Crop (95),[0.03888486 0.03989046 0.02803341],[0.03563026 0.01976895 0.01345639],[0.00412613 0.00096762 0.00346409],[0.01024454 0.00703954 0.00237456]
Samson,"Results (25 runs, no seed, same images)",Vertical Flip,[0.02609225 0.03941235 0.27791238],[0.02913485 0.01499578 0.02211424],[0.00381481 0.00061624 0.01399978],[0.0033415  0.0040405  0.00244632]
Samson,"Results (25 runs, no seed, same images)",Horizontal Flip,[0.02714699 0.03912043 0.27978262],[0.02892103 0.01481457 0.02187191],[0.00441704 0.00058223 0.01313147],[0.00430506 0.00446171 0.00243314]
Samson,"Results (25 runs, no seed, same images)",Mix Flip,[0.02835641 0.03882969 0.28062728],[0.03095949 0.01418055 0.02198706],[0.00390228 0.00055115 0.01485562],[0.00408738 0.00350382 0.00267445]
Samson,"Results (25 runs, no seed, same images)",Random Flip,[0.02645516 0.03933857 0.2763164 ],[0.03132271 0.01468737 0.02218699],[0.00426536 0.00058057 0.01595877],[0.00562354 0.0039512  0.00312677]
Samson,"Results (25 runs, no seed, same images)",Jitter,[0.05185995 0.04278889 0.02435699],[0.03395556 0.01893957 0.01170892],[0.09768871 0.00385089 0.0044082 ],[0.02174449 0.01419599 0.00272233]
Samson,"Results (25 runs, no seed, same images)",Crop + Blur,[0.06515308 0.03936784 0.03288596],[0.02184484 0.01210039 0.01139761],[0.01929482 0.00131568 0.00445577],[0.00492121 0.00448989 0.00161216]
Samson,"Results (25 runs, no seed, same images)",Crop + Flip,[0.0500622  0.03734255 0.33837166],[0.03289174 0.01079796 0.0252995 ],[0.03717256 0.0010642  0.01207455],[0.00753825 0.00219697 0.0035612 ]
Samson,"Results (25 runs, no seed, same images)",Crop + Flip + Blur,[0.05294963 0.0361516  0.32261777],[0.03379361 0.01138805 0.02636317],[0.03495531 0.0006484  0.01922377],[0.00959575 0.00202705 0.00605936]
Samson,"Results (25 runs, no seed, same images)",Crop + Jitter,[0.06594707 0.04101901 0.03071368],[0.02266092 0.01106724 0.01252352],[0.01812765 0.00174662 0.00476678],[0.0069568  0.00444596 0.00267157]
Samson,"Results (25 runs, no seed, same images)",Crop + Jitter + Blur,[0.06849062 0.03967009 0.03162121],[0.02288936 0.01192811 0.01287543],[0.01294672 0.00172592 0.0069335 ],[0.00605743 0.00461969 0.00228539]
Samson,"Results (25 runs, no seed, same images)",Crop + Jitter + Flip,[0.03621508 0.03688274 0.33428195],[0.03367469 0.01155905 0.02526954],[0.00885185 0.00073742 0.01436192],[0.00835307 0.00301089 0.00360702]
Samson,"Results (25 runs, no seed, same images)",Jitter + Flip,[0.03330404 0.03819203 0.28203785],[0.03125222 0.01164168 0.02133852],[0.00694285 0.0007275  0.01221263],[0.00624622 0.00282591 0.00253595]
Samson,"Results (25 runs, no seed, same images)",Jitter + Flip + Blur,[0.04222259 0.03724752 0.28748882],[0.03392589 0.01320444 0.02231494],[0.01811573 0.0012481  0.01273173],[0.01193226 0.00608856 0.00385195]
Samson,"Results (25 runs, seed, same images)","Blur (sigma = [0.1, 1.0])",[0.07257189 0.03987261 0.02056623],[0.02862381 0.01649131 0.01301124],[0.02398291 0.0010607  0.00136897],[0.00873751 0.00708063 0.00266271]
Samson,"Results (25 runs, seed, same images)","Blur (sigma = [0.1, 2.0])",[0.08556951 0.03995411 0.02072366],[0.02367049 0.01168483 0.01294338],[0.03099997 0.00141695 0.00251473],[0.00586597 0.00361231 0.00272765]
Samson,"Results (25 runs, seed, same images)",Crop (50),[0.07816994 0.04133645 0.03272642],[0.03074109 0.01834347 0.01319691],[0.0225857  0.00150757 0.0048994 ],[0.01085278 0.00958083 0.00250025]
Samson,"Results (25 runs, seed, same images)",Crop (75),[0.07896145 0.04130913 0.03402464],[0.02854576 0.01666399 0.01307271],[0.02958378 0.00157786 0.00469099],[0.01045653 0.00780055 0.00307977]
Samson,"Results (25 runs, seed, same images)",Crop (95),[0.06990536 0.0411403  0.03609961],[0.03196025 0.0196838  0.01328432],[0.02497292 0.00184201 0.00604752],[0.01203957 0.01017624 0.00304312]
Samson,"Results (25 runs, seed, same images)",Vertical Flip,[0.06294299 0.03720631 0.28842503],[0.0429991  0.0139185  0.02680714],[0.03021275 0.00083086 0.00554045],[0.01060875 0.00297676 0.00588416]
Samson,"Results (25 runs, seed, same images)",Horizontal Flip,[0.10208778 0.03731073 0.29165417],[0.05035625 0.01851801 0.02939583],[0.06827991 0.00295627 0.01503911],[0.01458533 0.01217212 0.0059202 ]
Samson,"Results (25 runs, seed, same images)",Mix Flip,[0.11010552 0.03769347 0.29298314],[0.05044411 0.01641731 0.03000868],[0.07808327 0.00129866 0.0168497 ],[0.0201526  0.00702508 0.01110532]
Samson,"Results (25 runs, seed, same images)",Random Flip,[0.07273936 0.03730362 0.29016736],[0.04307108 0.01405524 0.02748621],[0.04454563 0.0008012  0.0081864 ],[0.01358796 0.00451467 0.00791616]
Samson,"Results (25 runs, seed, same images)",Jitter,[0.06285329 0.04261662 0.02207319],[0.02817749 0.01586096 0.01288158],[0.02205247 0.00154465 0.00245586],[0.00933942 0.00725211 0.00326465]
Samson,"Results (25 runs, seed, same images)",Crop + Blur,[0.03980331 0.03821732 0.02615103],[0.03685495 0.02126932 0.01292501],[0.00384711 0.00057296 0.00209823],[0.00764724 0.00550041 0.00275303]
Samson,"Results (25 runs, seed, same images)",Crop + Flip,[0.02732208 0.03838282 0.3447242 ],[0.03241432 0.01856217 0.02518357],[0.00333614 0.00044785 0.0190689 ],[0.00545377 0.00467933 0.00288953]
Samson,"Results (25 runs, seed, same images)",Crop + Flip + Blur,[0.02802086 0.03768011 0.3682285 ],[0.03263258 0.01633407 0.027383  ],[0.00318902 0.00039378 0.01965928],[0.00633553 0.00351924 0.00532845]
Samson,"Results (25 runs, seed, same images)",Crop + Jitter,[0.21248749 0.04930332 0.03059212],[0.08030625 0.04716437 0.0210548 ],[0.28574932 0.01475085 0.00777747],[0.06625815 0.0409232  0.01347897]
Samson,"Results (25 runs, seed, same images)",Crop + Jitter + Blur,[0.10564986 0.04220728 0.02604949],[0.05270392 0.03005531 0.0173901 ],[0.18073213 0.01079881 0.00312505],[0.02925757 0.01586786 0.00696366]
Samson,"Results (25 runs, seed, same images)",Crop + Jitter + Flip,[0.06624751 0.03698723 0.36822385],[0.03921405 0.01269594 0.02887717],[0.03700754 0.00081668 0.00962436],[0.01130774 0.00458768 0.00568805]
Samson,"Results (25 runs, seed, same images)",Jitter + Flip,[0.06147905 0.03832206 0.29902843],[0.04069439 0.01408291 0.02673509],[0.06118183 0.00147519 0.02100938],[0.02099793 0.00786564 0.00669638]
Samson,"Results (25 runs, seed, same images)",Jitter + Flip + Blur,[0.07127442 0.03684448 0.30376783],[0.03904367 0.01233404 0.02785947],[0.05820026 0.00159994 0.01754344],[0.01717881 0.00283383 0.01008522]
Urban4,"Results (25 runs, no seed, diff images)","Blur (sigma = [0.1, 1.0])",[0.05382192 0.06032389 0.02741077 0.02690487],[0.03218438 0.03894986 0.02251939 0.02932816],[0.00208572 0.00379872 0.00252285 0.00591161],[0.0036333  0.00354529 0.00309726 0.00460928]
Urban4,"Results (25 runs, no seed, diff images)","Blur (sigma = [0.1, 2.0])",[0.0536327  0.06189006 0.02568566 0.02921203],[0.03118462 0.03825757 0.02186296 0.02844121],[0.00141383 0.00403621 0.00219964 0.0045211 ],[0.00279393 0.00226246 0.00173341 0.00437566]
Urban4,"Results (25 runs, no seed, diff images)",Crop (50),[0.05160084 0.05943676 0.03161008 0.0279371 ],[0.0326247  0.03975609 0.02458349 0.02717674],[0.00205248 0.00551754 0.00266395 0.00528658],[0.00349119 0.00653604 0.00623472 0.00463889]
Urban4,"Results (25 runs, no seed, diff images)",Crop (75),[0.05223055 0.06074097 0.03078975 0.02865332],[0.03620832 0.03771286 0.02166957 0.02800724],[0.00196388 0.00299195 0.0029131  0.00568744],[0.00215419 0.00292661 0.00227987 0.00293667]
Urban4,"Results (25 runs, no seed, diff images)",Crop (95),[0.05225304 0.05977001 0.03205916 0.02931219],[0.03682526 0.0390361  0.02137554 0.02978936],[0.00308884 0.00358345 0.0027726  0.00536514],[0.00341813 0.00343575 0.00196754 0.00598784]
Urban4,"Results (25 runs, no seed, diff images)",Vertical Flip,[0.061767   0.06795136 0.04076579 0.02534838],[0.0310814  0.03346939 0.01650351 0.02704752],[0.00281523 0.00444998 0.00470112 0.00642736],[0.00352164 0.00517725 0.00432195 0.00724676]
Urban4,"Results (25 runs, no seed, diff images)",Horizontal Flip,[0.06103297 0.06885744 0.0422254  0.02662901],[0.03230576 0.03524233 0.01583736 0.02731264],[0.00327625 0.00375359 0.00359356 0.00630925],[0.00242904 0.00545711 0.00243917 0.00426462]
Urban4,"Results (25 runs, no seed, diff images)",Mix Flip,[0.06069874 0.07143451 0.04327514 0.02515421],[0.03146048 0.04018891 0.01757522 0.02593685],[0.00303008 0.00520324 0.00346309 0.00479784],[0.00300501 0.00467253 0.00416774 0.00406207]
Urban4,"Results (25 runs, no seed, diff images)",Random Flip,[0.06034441 0.07319883 0.04164088 0.02660668],[0.03004635 0.03860397 0.01690404 0.02477625],[0.00247063 0.00338303 0.00317488 0.00722287],[0.0024604  0.00418801 0.00367577 0.00419336]
Urban4,"Results (25 runs, no seed, diff images)",Jitter,[0.05857142 0.05803818 0.04674781 0.03194728],[0.02889931 0.03621808 0.02164979 0.02285665],[0.00217285 0.00386665 0.00323296 0.00484438],[0.00291132 0.00798617 0.00797671 0.00396484]
Urban4,"Results (25 runs, no seed, diff images)",Crop + Blur,[0.04654774 0.0444819  0.03496957 0.03349458],[0.0402609  0.04006014 0.02701057 0.03256388],[0.00224091 0.00356754 0.00545118 0.00746641],[0.00317746 0.00300547 0.00413044 0.00501068]
Urban4,"Results (25 runs, no seed, diff images)",Crop + Flip,[0.06568704 0.04629272 0.03334621 0.03214387],[0.05591996 0.04709329 0.02655073 0.03996916],[0.00452097 0.00326563 0.00400365 0.00922396],[0.0047609  0.00461991 0.0018139  0.00609915]
Urban4,"Results (25 runs, no seed, diff images)",Crop + Flip + Blur,[0.06160999 0.04554784 0.02701422 0.02933084],[0.05223709 0.04693954 0.03204074 0.04437873],[0.00191395 0.00399258 0.00275745 0.00897115],[0.0050846  0.0062022  0.00310859 0.00699624]
Urban4,"Results (25 runs, no seed, diff images)",Crop + Jitter,[0.05159521 0.03905467 0.03538604 0.03476864],[0.05006516 0.04160232 0.02437349 0.03234526],[0.00218962 0.00334949 0.00444987 0.00730649],[0.00347352 0.00328619 0.00260906 0.00414143]
Urban4,"Results (25 runs, no seed, diff images)",Crop + Jitter + Blur,[0.04769671 0.04270002 0.03388157 0.03290173],[0.05016387 0.042013   0.02980175 0.04070975],[0.00226793 0.0043173  0.00537138 0.0083628 ],[0.00389078 0.00438018 0.00442    0.00788107]
Urban4,"Results (25 runs, no seed, diff images)",Crop + Jitter + Flip,[0.06519548 0.04532525 0.03335623 0.02799363],[0.05877674 0.05001244 0.02796857 0.03921615],[0.00341069 0.00338279 0.00449633 0.00798337],[0.00515836 0.00440415 0.00281261 0.00652867]
Urban4,"Results (25 runs, no seed, diff images)",Jitter + Flip,[0.06229375 0.05066463 0.04654668 0.03020697],[0.04476891 0.04358599 0.02087147 0.02922223],[0.00330784 0.00406741 0.0047814  0.00732883],[0.00530247 0.00448399 0.00280255 0.00499647]
Urban4,"Results (25 runs, no seed, diff images)",Jitter + Flip + Blur,[0.05806218 0.04646892 0.0290432  0.02900024],[0.04827094 0.04314924 0.0257806  0.03837438],[0.00293556 0.00401261 0.00467685 0.00741163],[0.00540421 0.00380567 0.00303169 0.00696481]
Urban4,"Results (25 runs, no seed, same images)","Blur (sigma = [0.1, 1.0])",[0.05693235 0.05936785 0.02724582 0.02681226],[0.03174631 0.03141604 0.02047361 0.02596652],[0.00236925 0.00341912 0.00247267 0.0039126 ],[0.00346894 0.00369981 0.00196084 0.00394857]
Urban4,"Results (25 runs, no seed, same images)","Blur (sigma = [0.1, 2.0])",[0.05784451 0.058544   0.02538578 0.02729329],[0.03141948 0.032782   0.02319926 0.02730036],[0.00429002 0.0036522  0.00188367 0.00551591],[0.00377765 0.00378289 0.0040843  0.00385588]
Urban4,"Results (25 runs, no seed, same images)",Crop (50),[0.05118985 0.04259926 0.03547796 0.0325897 ],[0.04417259 0.0423621  0.02497797 0.02997549],[0.00315005 0.00297564 0.00372445 0.00741917],[0.00421264 0.00324102 0.00248687 0.00572692]
Urban4,"Results (25 runs, no seed, same images)",Crop (75),[0.05381546 0.05818663 0.0335935  0.02855177],[0.03329585 0.03237169 0.02104638 0.02496517],[0.00188257 0.00473223 0.00253681 0.00621379],[0.00263298 0.00393112 0.00218738 0.0048375 ]
Urban4,"Results (25 runs, no seed, same images)",Crop (95),[0.05516766 0.0577166  0.03279729 0.02692714],[0.03257863 0.03228907 0.02096238 0.02522098],[0.00215981 0.00352227 0.00179515 0.00540695],[0.00174813 0.00277354 0.00274097 0.00296207]
Urban4,"Results (25 runs, no seed, same images)",Vertical Flip,[0.06681363 0.06972205 0.04143991 0.028859  ],[0.03768159 0.03352021 0.01455135 0.03069861],[0.00480482 0.00388825 0.00329765 0.00622302],[0.00481931 0.00687159 0.00211513 0.00652874]
Urban4,"Results (25 runs, no seed, same images)",Horizontal Flip,[0.06679287 0.07021795 0.04197075 0.02761877],[0.03574419 0.0321741  0.01441293 0.03110828],[0.00393308 0.0047845  0.00430973 0.00636403],[0.00251697 0.00391482 0.00123153 0.0041539 ]
Urban4,"Results (25 runs, no seed, same images)",Mix Flip,[0.06691129 0.07205617 0.04146282 0.02736283],[0.03625326 0.03403016 0.01469619 0.02966511],[0.00608838 0.00430944 0.00487193 0.00512058],[0.00329564 0.00603299 0.00149848 0.00507853]
Urban4,"Results (25 runs, no seed, same images)",Random Flip,[0.06467133 0.06845267 0.04046267 0.02501782],[0.03269197 0.04082793 0.02242014 0.02817741],[0.00549176 0.00624671 0.00387063 0.00546625],[0.00338194 0.0078254  0.00672697 0.00428454]
Urban4,"Results (25 runs, no seed, same images)",Jitter,[0.0581491  0.05969288 0.04883721 0.03036662],[0.02877671 0.0398765  0.02446065 0.02106467],[0.0030907  0.00482102 0.0040141  0.00582027],[0.00201265 0.00783098 0.00855582 0.00327572]
Urban4,"Results (25 runs, no seed, same images)",Crop + Blur,[0.04681524 0.04604233 0.0362413  0.02996169],[0.03829308 0.0381556  0.02832917 0.0331033 ],[0.00148052 0.00317667 0.00387106 0.00552378],[0.0042193  0.00413439 0.00267725 0.00554885]
Urban4,"Results (25 runs, no seed, same images)",Crop + Flip,[0.06640232 0.04603274 0.03502326 0.03092476],[0.05744207 0.04788606 0.02890266 0.04222975],[0.00345174 0.00330422 0.00458011 0.00699143],[0.00563482 0.00538518 0.00325042 0.00766433]
Urban4,"Results (25 runs, no seed, same images)",Crop + Flip + Blur,[0.06269524 0.04525391 0.02773085 0.03073461],[0.05229601 0.04534844 0.03476253 0.04860709],[0.00323429 0.00353566 0.00358856 0.00606329],[0.00486187 0.00568316 0.0050116  0.00854645]
Urban4,"Results (25 runs, no seed, same images)",Crop + Jitter,[0.05069067 0.03949551 0.03339362 0.03262721],[0.04841983 0.047274   0.02934716 0.03306436],[0.00217735 0.00304651 0.00438512 0.0072882 ],[0.00346234 0.00545116 0.00474686 0.0051376 ]
Urban4,"Results (25 runs, no seed, same images)",Crop + Jitter + Blur,[0.04743233 0.04234608 0.03628161 0.02889628],[0.04110494 0.04169684 0.03073828 0.0324427 ],[0.00185488 0.00267016 0.00490241 0.00713815],[0.00364251 0.00579839 0.0060201  0.00579164]
Urban4,"Results (25 runs, no seed, same images)",Crop + Jitter + Flip,[0.06515642 0.0431581  0.03434195 0.03333837],[0.06041665 0.05221627 0.03193811 0.04483237],[0.002693   0.00349314 0.00351982 0.00970132],[0.00427123 0.00458808 0.00401572 0.00622885]
Urban4,"Results (25 runs, no seed, same images)",Jitter + Flip,[0.06037547 0.04975973 0.04986764 0.03444549],[0.04488777 0.04179997 0.02145039 0.03023915],[0.00288444 0.00409584 0.00392892 0.01123593],[0.0036751  0.00646555 0.00480199 0.00366088]
Urban4,"Results (25 runs, no seed, same images)",Jitter + Flip + Blur,[0.05916931 0.0451646  0.02789619 0.02798267],[0.05083757 0.04184045 0.02727103 0.04408566],[0.0031145  0.00301941 0.00268897 0.00838943],[0.00372697 0.00409954 0.00277496 0.00577861]
Urban4,"Results (25 runs, seed, same images)","Blur (sigma = [0.1, 1.0])",[0.05955298 0.0586241  0.02467179 0.02805325],[0.0290915  0.04054424 0.02765764 0.03100584],[0.00283451 0.0045736  0.00158768 0.00465951],[0.00254053 0.00344563 0.00480551 0.00399048]
Urban4,"Results (25 runs, seed, same images)","Blur (sigma = [0.1, 2.0])",[0.060851   0.05470155 0.02850655 0.02584256],[0.02796765 0.04017339 0.02898155 0.03247434],[0.0044317  0.00364888 0.00213107 0.00474352],[0.00229586 0.0042141  0.00578282 0.0047654 ]
Urban4,"Results (25 runs, seed, same images)",Crop (50),[0.05298486 0.04774579 0.03344605 0.02489915],[0.0351122  0.05064823 0.03897921 0.03083148],[0.00190713 0.00391858 0.00529716 0.00303817],[0.00205962 0.00871511 0.01125094 0.00233234]
Urban4,"Results (25 runs, seed, same images)",Crop (75),[0.05164059 0.05455741 0.03036935 0.02996855],[0.03458448 0.04427819 0.03006113 0.02902607],[0.00192532 0.01078049 0.00422916 0.00578121],[0.00298342 0.00927097 0.0111492  0.00359809]
Urban4,"Results (25 runs, seed, same images)",Crop (95),[0.05117809 0.05299451 0.03177477 0.0281338 ],[0.03315462 0.04320969 0.02923297 0.0271825 ],[0.00192916 0.00649218 0.00342015 0.00506752],[0.00238194 0.0084624  0.00863708 0.00244194]
